lx,ly,dx,dy
52,20,116,12
53,20,117,12
54,20,118,12
55,20,119,12
56,20,120,12
57,20,121,12
58,20,122,12
59,20,123,12
60,20,124,12
61,20,125,12
62,20,126,12
63,20,127,12
0,21,16,13
1,21,17,13
2,21,18,13
3,21,19,13
4,21,20,13
5,21,21,13
6,21,22,13
7,21,23,13
8,21,24,13
9,21,25,13
10,21,26,13
11,21,27,13
12,21,28,13
13,21,29,13
14,21,30,13
15,21,31,13
16,21,48,13
17,21,49,13
18,21,50,13
19,21,51,13
20,21,52,13
21,21,53,13
22,21,54,13
23,21,55,13
24,21,56,13
25,21,57,13
26,21,58,13
27,21,59,13
28,21,60,13
29,21,61,13
30,21,62,13
31,21,63,13
32,21,80,13
33,21,81,13
34,21,82,13
35,21,83,13
36,21,84,13
37,21,85,13
38,21,86,13
39,21,87,13
40,21,88,13
41,21,89,13
42,21,90,13
43,21,91,13
44,21,92,13
45,21,93,13
46,21,94,13
47,21,95,13
48,21,112,13
49,21,113,13
50,21,114,13
51,21,115,13
52,21,116,13
53,21,117,13
54,21,118,13
55,21,119,13
56,21,120,13
57,21,121,13
58,21,122,13
59,21,123,13
60,21,124,13
61,21,125,13
62,21,126,13
63,21,127,13
0,22,16,14
1,22,17,14
2,22,18,14
3,22,19,14
4,22,20,14
5,22,21,14
6,22,22,14
7,22,23,14
8,22,24,14
9,22,25,14
10,22,26,14
11,22,27,14
12,22,28,14
13,22,29,14
14,22,30,14
15,22,31,14
16,22,48,14
17,22,49,14
18,22,50,14
19,22,51,14
20,22,52,14
21,22,53,14
22,22,54,14
23,22,55,14
24,22,56,14
25,22,57,14
26,22,58,14
27,22,59,14
28,22,60,14
29,22,61,14
30,22,62,14
31,22,63,14
32,22,80,14
33,22,81,14
34,22,82,14
35,22,83,14
36,22,84,14
37,22,85,14
38,22,86,14
39,22,87,14
40,22,88,14
41,22,89,14
42,22,90,14
43,22,91,14
44,22,92,14
45,22,93,14
46,22,94,14
47,22,95,14
48,22,112,14
49,22,113,14
50,22,114,14
51,22,115,14
52,22,116,14
53,22,117,14
54,22,118,14
55,22,119,14
56,22,120,14
57,22,121,14
58,22,122,14
59,22,123,14
60,22,124,14
61,22,125,14
62,22,126,14
63,22,127,14
0,23,16,15
1,23,17,15
2,23,18,15
3,23,19,15
4,23,20,15
5,23,21,15
6,23,22,15
7,23,23,15
8,23,24,15
9,23,25,15
10,23,26,15
11,23,27,15
12,23,28,15
13,23,29,15
14,23,30,15
15,23,31,15
16,23,48,15
17,23,49,15
18,23,50,15
19,23,51,15
20,23,52,15
21,23,53,15
22,23,54,15
23,23,55,15
24,23,56,15
25,23,57,15
26,23,58,15
27,23,59,15
28,23,60,15
29,23,61,15
30,23,62,15
31,23,63,15
32,23,80,15
33,23,81,15
34,23,82,15
35,23,83,15
36,23,84,15
37,23,85,15
38,23,86,15
39,23,87,15
40,23,88,15
41,23,89,15
42,23,90,15
43,23,91,15
44,23,92,15
45,23,93,15
46,23,94,15
47,23,95,15
48,23,112,15
49,23,113,15
50,23,114,15
51,23,115,15
52,23,116,15
53,23,117,15
54,23,118,15
55,23,119,15
56,23,120,15
57,23,121,15
58,23,122,15
59,23,123,15
60,23,124,15
61,23,125,15
62,23,126,15
63,23,127,15
0,24,0,8
1,24,1,8
2,24,2,8
3,24,3,8
4,24,4,8
5,24,5,8
6,24,6,8
7,24,7,8
8,24,8,8
9,24,9,8
10,24,10,8
11,24,11,8
12,24,12,8
13,24,13,8
14,24,14,8
15,24,15,8
16,24,32,8
17,24,33,8
18,24,34,8
19,24,35,8
20,24,36,8
21,24,37,8
22,24,38,8
23,24,39,8
24,24,40,8
25,24,41,8
26,24,42,8
27,24,43,8
28,24,44,8
29,24,45,8
30,24,46,8
31,24,47,8
32,24,64,8
33,24,65,8
34,24,66,8
35,24,67,8
36,24,68,8
37,24,69,8
38,24,70,8
39,24,71,8
40,24,72,8
41,24,73,8
42,24,74,8
43,24,75,8
44,24,76,8
45,24,77,8
46,24,78,8
47,24,79,8
48,24,96,8
49,24,97,8
50,24,98,8
51,24,99,8
52,24,100,8
53,24,101,8
54,24,102,8
55,24,103,8
56,24,104,8
57,24,105,8
58,24,106,8
59,24,107,8
60,24,108,8
61,24,109,8
62,24,110,8
63,24,111,8
0,25,0,9
1,25,1,9
2,25,2,9
3,25,3,9
4,25,4,9
5,25,5,9
6,25,6,9
7,25,7,9
8,25,8,9
9,25,9,9
10,25,10,9
11,25,11,9
12,25,12,9
13,25,13,9
14,25,14,9
15,25,15,9
16,25,32,9
17,25,33,9
18,25,34,9
19,25,35,9
20,25,36,9
21,25,37,9
22,25,38,9
23,25,39,9
24,25,40,9
25,25,41,9
26,25,42,9
27,25,43,9
28,25,44,9
29,25,45,9
30,25,46,9
31,25,47,9
32,25,64,9
33,25,65,9
34,25,66,9
35,25,67,9
36,25,68,9
37,25,69,9
38,25,70,9
39,25,71,9
40,25,72,9
41,25,73,9
42,25,74,9
43,25,75,9
44,25,76,9
45,25,77,9
46,25,78,9
47,25,79,9
48,25,96,9
49,25,97,9
50,25,98,9
51,25,99,9
52,25,100,9
53,25,101,9
54,25,102,9
55,25,103,9
56,25,104,9
57,25,105,9
58,25,106,9
59,25,107,9
60,25,108,9
61,25,109,9
62,25,110,9
63,25,111,9
0,26,0,10
1,26,1,10
2,26,2,10
3,26,3,10
4,26,4,10
5,26,5,10
6,26,6,10
7,26,7,10
8,26,8,10
9,26,9,10
10,26,10,10
11,26,11,10
12,26,12,10
13,26,13,10
14,26,14,10
15,26,15,10
16,26,32,10
17,26,33,10
18,26,34,10
19,26,35,10
20,26,36,10
21,26,37,10
22,26,38,10
23,26,39,10
24,26,40,10
25,26,41,10
26,26,42,10
27,26,43,10
28,26,44,10
29,26,45,10
30,26,46,10
31,26,47,10
32,26,64,10
33,26,65,10
34,26,66,10
35,26,67,10
36,26,68,10
37,26,69,10
38,26,70,10
39,26,71,10
40,26,72,10
41,26,73,10
42,26,74,10
43,26,75,10
44,26,76,10
45,26,77,10
46,26,78,10
47,26,79,10
48,26,96,10
49,26,97,10
50,26,98,10
51,26,99,10
52,26,100,10
53,26,101,10
54,26,102,10
55,26,103,10
56,26,104,10
57,26,105,10
58,26,106,10
59,26,107,10
60,26,108,10
61,26,109,10
62,26,110,10
63,26,111,10
0,27,0,11
1,27,1,11
2,27,2,11
3,27,3,11
4,27,4,11
5,27,5,11
6,27,6,11
7,27,7,11
8,27,8,11
9,27,9,11
10,27,10,11
11,27,11,11
12,27,12,11
13,27,13,11
14,27,14,11
